time,jpy,tmp
1499155176,296854.000000000000,0.002245900000
1499155214,297031.500000000000,0.110000000000
1499155259,297031.500000000000,0.113000000000
1499155284,297341.600000000000,0.003310730000
1499155729,296372.600000000000,0.002425660000
1499155791,296300.000000000000,0.001221490000
1499155793,296300.000000000000,0.083778510000
1499155924,296783.000000000000,0.010000000000
1499155934,296783.000000000000,0.010000000000
1499155987,296783.100000000000,0.009265330000
1499155987,296783.000000000000,0.093000000000
1499156404,297253.600000000000,0.093000000000
1499156404,297253.700000000000,0.002102380000
1499156487,297294.400000000000,0.001151060000
1499157006,296842.500000000000,0.001857630000
1499157404,296372.700000000000,0.005133610000
1499157409,294586.100000000000,0.068192130000
1499158734,295036.900000000000,0.007748810000
1499159089,294521.000000000000,0.049100000000
1499159091,294521.000000000000,0.100900000000
1499159518,294596.000000000000,0.150000000000
1499159586,294596.100000000000,0.124900000000
1499159649,294596.200000000000,0.035000000000
1499159706,294596.000000000000,0.009800000000
1499160695,295931.600000000000,0.001560490000
1499160724,294154.200000000000,0.031300000000
1499160724,293543.400000000000,0.330991120000
1499160724,294151.500000000000,0.010708880000
1499160773,293543.500000000000,0.370000000000
1499160827,293543.800000000000,0.370000000000
1499160959,294888.300000000000,0.003509530000
1499161281,294347.700000000000,0.012515740000
1499161281,293546.000000000000,0.468744260000
1499161332,295511.800000000000,0.001634880000
1499161580,295966.200000000000,0.011283340000
1499162108,295507.000000000000,0.010000000000
1499162280,296004.100000000000,0.003932960000
1499163025,296514.100000000000,0.006157930000
1499163026,298755.400000000000,0.006015640000
1499163026,300810.000000000000,0.137826430000
1499163117,300809.200000000000,0.675566360000
1499163252,295267.200000000000,0.012205740000
1499163264,293730.100000000000,0.015300000000
1499163280,293730.100000000000,0.072494260000
1499163342,294514.600000000000,0.007261360000
1499163342,293540.700000000000,0.092738640000
1499163362,293540.800000000000,0.182800000000
1499163366,294515.000000000000,0.010000000000
1499163380,293540.700000000000,1.698000000000
1499163401,293540.700000000000,1.061261360000
1499163406,293540.600000000000,0.000738640000
1499163597,293540.500000000000,5.940000000000
1499163638,293541.000000000000,0.009999990000
1499163646,294821.900000000000,0.003509480000
1499163658,293541.000000000000,0.004000000000
1499163666,293541.000000000000,0.006000000000
1499164103,293540.000000000000,0.090000000000
1499164103,293540.000000000000,0.010000000000
1499164132,293540.000000000000,0.009000000000
1499164153,293540.000000000000,0.001000000000
1499164199,293021.400000000000,0.007884810000
1499164205,293021.000000000000,0.002115190000
1499164227,293000.000000000000,0.010000000000
1499164227,292999.900000000000,0.090000000000
1499164269,292340.200000000000,0.040000000000
1499164269,292999.900000000000,0.060000000000
1499164271,293000.000000000000,0.010000000000
